,1980,1985,1990,1995,2000,2001,2005,2006,2010,2011,2012,2013,2014,2018
Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index),Human Development Index ( HDI ) (Index)
Nepal,0.279,0.325,0.384,0.416,0.451,0.471,0.48,0.509,0.531,0.541,0.54,0.543,0.548,0.49
Source(Human Development Index ( HDI )),"Nepal Human Development Report 2004, 2009 and 2014; UNDP"
Unit(Human Development Index ( HDI )),Index
